<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
06/05/15;000000;126.7000000;126.7400000;123.3700000;125.1000000;5882690
07/05/15;000000;124.6800000;126.0800000;124.0300000;125.1900000;3260988
08/05/15;000000;126.5500000;127.6000000;126.1300000;127.5500000;3553754
11/05/15;000000;127.3500000;127.5600000;125.6300000;126.3300000;2917048
12/05/15;000000;125.5850000;126.8800000;124.8200000;125.9200000;2999498
13/05/15;000000;126.2700000;127.1900000;125.8700000;125.9900000;2719595
14/05/15;000000;127.4300000;128.9400000;127.1600000;128.9400000;3049524
15/05/15;000000;129.1150000;129.4900000;128.2200000;128.7650000;2810014
18/05/15;000000;128.4750000;130.7200000;128.4600000;130.1600000;2999421
19/05/15;000000;130.6200000;130.8800000;129.6400000;130.1100000;2970067
20/05/15;000000;130.0400000;130.9800000;129.3400000;130.1300000;2251054
21/05/15;000000;130.0500000;131.6300000;129.8600000;131.4000000;2707085
22/05/15;000000;131.5900000;132.9700000;131.4100000;132.5500000;2569693
26/05/15;000000;132.6300000;132.9100000;129.1200000;129.6600000;4688241
27/05/15;000000;130.3500000;132.2600000;130.0500000;132.0100000;3097070
28/05/15;000000;131.8400000;131.9500000;131.1000000;131.7700000;2241170
29/05/15;000000;131.2600000;131.4500000;129.9000000;130.6000000;2689977
01/06/15;000000;131.2650000;131.3800000;130.0600000;130.5300000;2467013
02/06/15;000000;130.0500000;130.6550000;129.3200000;129.9500000;1883678
03/06/15;000000;130.7000000;130.9300000;129.9100000;130.1700000;2194837
04/06/15;000000;129.3500000;130.5800000;128.9100000;129.4500000;3103869
05/06/15;000000;129.4800000;129.6900000;128.3700000;128.6600000;2751432
08/06/15;000000;128.9400000;129.2100000;126.8400000;127.7700000;3399563
09/06/15;000000;126.7200000;128.0700000;125.6200000;127.4100000;3998136
10/06/15;000000;127.9800000;129.3400000;127.8500000;128.9100000;2674926
11/06/15;000000;129.1300000;130.1700000;128.4800000;128.5900000;2413383
12/06/15;000000;128.1700000;128.3200000;127.1200000;127.1500000;2375203
15/06/15;000000;126.0300000;127.2300000;125.7100000;126.9700000;2766301
16/06/15;000000;127.0300000;127.8450000;126.3700000;127.5800000;2029961
17/06/15;000000;127.7300000;127.8800000;126.7500000;127.3400000;2561940
18/06/15;000000;127.3300000;128.3100000;127.3100000;127.8300000;2431314
19/06/15;000000;127.6900000;127.8200000;126.5300000;126.5300000;2542749
22/06/15;000000;127.4800000;128.0550000;127.0900000;127.5100000;1936957
23/06/15;000000;127.4300000;127.5950000;126.8800000;127.0300000;2207164
24/06/15;000000;127.1800000;129.8000000;127.1500000;128.1600000;3858226
25/06/15;000000;128.8900000;129.1900000;127.5000000;127.5000000;2087785
26/06/15;000000;127.6700000;127.9800000;126.5100000;126.7600000;2389095
29/06/15;000000;125.5700000;126.4700000;124.5000000;124.5200000;3450527
